# Grid R0: 0.1, R1: 1000, N: 1000, spacing: natural
# SimpleStar M: 1Msun, R: 1Rsun, T: 5770K, age: 959999.9999999957yr
# SimpleDiscEOS gamma: 1.0, mu: 2.33, alpha: 0.001, mu: 2.33, K0= 0.01
# DustGrowthTwoPop feedback: True, rho_s: 1.0g cm^-3, uf_0: 100.0cm s^-1, uf_ice: 1000.0cm s^-1, thresh: 0.1, f_grow: 1.0, a0: 1e-05cm
# ViscousEvolutionFV tol: 0.5
# SingleFluidDrift diffusion: False settling: False van-leer: False
# Bitsch2015Model pb_gas_f: 0.1, migrate: True
# GasAccretionf_max: 0.8, f_py: 0.2, kappa_env: 0.05 cm^2 g^-1, rho_core: 5.5 g cm^-1
# PebbleAccretionHill
# CridaMigration 
#	 TypeIMigration gamma: 1.4
#	 TypeIIMigration
# time: 960000.0yr
# R Sigma T epsilon[0] epsilon[1] a[0] a[1] Mdot MdotSS
617.269492225 2.024997455882495e-05 9.553741408514389 7.776546274412929e-11 2.5144166287268443e-09 1e-05 1e-05 -4.17438E-13 7.95159E-14
618.826089025 1.9643611317733496e-05 9.543434779680654 7.91849908905043e-11 2.5603147054596365e-09 1e-05 1e-05 -4.07076E-13 7.73433E-14
620.3846460249999 1.9054839480964372e-05 9.533152211401791 8.070317434321731e-11 2.609402637097357e-09 1e-05 1e-05 -3.96957E-13 7.52276E-14
621.945163225 1.8483166055346095e-05 9.52289361737285 8.232584374659235e-11 2.6618689478064834e-09 1e-05 1e-05 -3.87076E-13 7.31673E-14
623.5076406249999 1.7928111345939035e-05 9.51265891170628 8.405918763028585e-11 2.71791373337924e-09 1e-05 1e-05 -3.77427E-13 7.11611E-14
625.072078225 1.7389208612300275e-05 9.502448008929393 8.590977467224046e-11 2.7777493810691057e-09 1e-05 1e-05 -3.68004E-13 6.92077E-14
626.6384760249999 1.686600373321517e-05 9.492260823981848 8.788457737035775e-11 2.841601334974898e-09 1e-05 1e-05 -3.58804E-13 6.73056E-14
628.2068340249999 1.6358054879696177e-05 9.48209727221314 8.999099721310039e-11 2.9097089098902437e-09 1e-05 1e-05 -3.49822E-13 6.54536E-14
629.777152225 1.5864932196057934e-05 9.471957269380125 9.223689144529048e-11 2.982326156731056e-09 1e-05 1e-05 -3.41051E-13 6.36505E-14
631.349430625 1.5386217488879267e-05 9.461840731644548 9.463060153171845e-11 3.0597227828588936e-09 1e-05 1e-05 -3.32489E-13 6.18950E-14
632.923669225 1.4921503923666823e-05 9.451747575570602 9.718098342740902e-11 3.1421851308195556e-09 1e-05 1e-05 -3.24129E-13 6.01860E-14
634.499868025 1.4470395729041641e-05 9.441677718122493 9.989743977116964e-11 3.2300172192678153e-09 1e-05 1e-05 -3.15969E-13 5.85222E-14
